nr albumu;imiê;nazwisko;pesel;adres;data urodzenia;nr telefonu;mail;;;;;;;
464900;Szymon;Bartanowicz;01211727579;Ul. Sk³adowa 23 ,61-614 Poznañ;17.01.2001;617553107;szybar@st.amu.edu.pl;;;;;;;
464901;Micha³;Ciesió³ka;01211955259;Ul. Dworcowa 5 ,61-614 Poznañ;19.01.2001;688597425;miccie@st.amu.edu.pl;;;;;;;
464902;Wiktor;Duda;01302522915;Ul. Naramowicka 4 ,61-614 Poznañ;25.10.2001;611412200;wikdud@st.amu.edu.pl;;;;;;;
464903;Mi³osz;Karpowicz;01261148319;Ul. Bukowska 20 ,61-614 Poznañ;11.06.2001;606532078;milkar@st.amu.edu.pl;;;;;;;
464904;Maksymilian;£asecki;01241869733;Ul. Pocztowa 43 ,61-614 Poznañ;18.04.2001;617857127;maklas@st.amu.edu.pl;;;;;;;
464905;Maciej;Maciejewski;01230129251;Ul. Wiejska 73 ,61-614 Poznañ;01.03.2001;654265371;macmac@st.amu.edu.pl;;;;;;;
464906;Szymon;Mazurek;01310242159;Ul. Krauthofera 22 ,61-614 Poznañ;02.11.2001;602268834;szymaz@st.amu.edu.pl;;;;;;;
464907;Mateusz Ludwik;Miller;01210683911;Ul. Poznañska 123 ,61-614 Poznañ;06.01.2001;621997686;matmil@st.amu.edu.pl;;;;;;;
464908;Aleksandra Izabella;Muczyñska;01302532567;Ul. Lipowa 164 ,61-614 Poznañ;25.10.2001;654170418;alemuc@st.amu.edu.pl;;;;;;;
464909;Miko³aj;Mumot;01312533132;Ul. Pi¹tkowska 12 ,61-614 Poznañ;25.11.2001;600742348;mikmum@st.amu.edu.pl;;;;;;;
464910;Micha³;Musia³owicz;01221669355;Ul. Krañcowa 65 ,61-614 Poznañ;16.02.2001;647606724;micmus@st.amu.edu.pl;;;;;;;
464911;Micha³;Nowak;01281556396;Ul. Cicha 8 ,61-614 Poznañ;15.08.2001;678152375;micnow@st.amu.edu.pl;;;;;;;
