nr_albumu,imie,nazwisko,pesel,adres,data_ur,nr_tel,mail
464900,Szymon,Bartanowicz,01211727579,Ul. Składowa 23 61-614 Poznań,17.01.2001,617553107,szybar@st.amu.edu.pl
464901,Michał,Ciesiółka,01211955259,Ul. Dworcowa 5 61-614 Poznań,19.01.2001,688597425,miccie@st.amu.edu.pl
464902,Wiktor,Duda,01302522915,Ul. Naramowicka 4 61-614 Poznań,25.10.2001,611412200,wikdud@st.amu.edu.pl
464903,Miłosz,Karpowicz,01261148319,Ul. Bukowska 20 61-614 Poznań,11.06.2001,606532078,milkar@st.amu.edu.pl
464904,Maksymilian,Łasecki,01241869733,Ul. Pocztowa 43 61-614 Poznań,18.04.2001,617857127,maklas@st.amu.edu.pl
464905,Maciej,Maciejewski,01230129251,Ul. Wiejska 73 61-614 Poznań,01.03.2001,654265371,macmac@st.amu.edu.pl
464906,Szymon,Mazurek,01310242159,Ul. Krauthofera 22 61-614 Poznań,02.11.2001,602268834,szymaz@st.amu.edu.pl
464907,Mateusz Ludwik,Miller,01210683911,Ul. Poznańska 123 61-614 Poznań,06.01.2001,621997686,matmil@st.amu.edu.pl
464908,Aleksandra Izabella,Muczyńska,01302532567,Ul. Lipowa 164 61-614 Poznań,25.10.2001,654170418,alemuc@st.amu.edu.pl
464909,Mikołaj,Mumot,01312533132,Ul. Piątkowska 12 61-614 Poznań,25.11.2001,600742348,mikmum@st.amu.edu.pl
464910,Michał,Musiałowicz,01221669355,Ul. Krańcowa 65 61-614 Poznań,16.02.2001,647606724,micmus@st.amu.edu.pl
464911,Michał,Nowak,01281556396,Ul. Cicha 8 61-614 Poznań,15.08.2001,678152375,micnow@st.amu.edu.pl
464912,Krzysztof,Raczyński,01312893599,Ul. Głogowska 12 61-614 Poznań,28.11.2001,676549999,krzrac@st.amu.edu.pl
464913,Paweł,Rostecki,01242519279,Ul. Mazowiecka 4 61-614 Poznań,25.04.2001,653026613,pawros@st.amu.edu.pl
464914,Sebastian,Smołuch,01220582273,Ul. Dworcowa 65 61-614 Poznań,05.02.2001,642086546,sebsmo@st.amu.edu.pl
464915,Jędrzej,Wesołowski,01262857593,Ul. Rynkowa 52 61-614 Poznań,28.06.2001,613481193,jedwes@st.amu.edu.pl
464916,Jędrzej,Rybczyński,01311014539,Ul. Wiejska 234 61-614 Poznań,10.11.2001,628632371,jedryb@st.amu.edu.pl
464917,Igor,Mianowany,01283042231,Ul. Półwiejska 23 61-614 Poznań,30.08.2001,671436813,igomia@st.amu.edu.pl
464918,Miłosz,Menio,01212278999,Ul. Myśliwska 153 61-614 Poznań,22.01.2001,688347037,milmen@st.amu.edu.pl
464919,Maciej,Matusz,01262492257,Ul. Naramowicka 134 61-614 Poznań,24.06.2001,643766178,macmat@st.amu.edu.pl
464920,Mateusz Ludwik,Cwojdziński,01241066376,Ul. Spokojna 124 61-614 Poznań,10.04.2001,693282836,matcwo@st.amu.edu.pl
464921,Bartosz,Wieczorek,01213057812,Ul. Lipowa 43 61-614 Poznań,30.01.2001,618197645,barwie@st.amu.edu.pl
464922,Dominika,Leśniewska,01230391166,Ul. Poznańska 12 61-614 Poznań,03.03.2001,672762484,domles@st.amu.edu.pl
464923,Miłosz,Konarski,01251688537,Ul. Spokojna 234 61-614 Poznań,16.05.2001,693858819,milkon@st.amu.edu.pl
464924,Jerzy,Kwiatkowski,01272592378,Ul. Krauthofera 5 61-614 Poznań,25.07.2001,683662434,jerkwi@st.amu.edu.pl
464925,Joanna,Ładyko,01262329768,Ul. Krańcowa 643 61-614 Poznań,23.06.2001,656046372,joalad@st.amu.edu.pl
464926,Aleksandra,Malejka,01230272126,Ul. Myśliwska 23 61-614 Poznań,02.03.2001,699519858,alemal@st.amu.edu.pl
464927,Dominik,Mikołajczyk,01211749713,Ul. Pocztowa 165 61-614 Poznań,17.01.2001,690299753,dommik@st.amu.edu.pl
464928,Jakub,Sobkiewicz,01261394758,Ul. Rynkowa 75 61-614 Poznań,13.06.2001,626355647,jaksob@st.amu.edu.pl
464929,Michał,Szczygieł,01232494171,Ul. Składowa 69 61-614 Poznań,24.03.2001,646736056,micszc@st.amu.edu.pl
464930,Natalia,Wołowiec,01221156866,Ul. Piątkowska 234 61-614 Poznań,11.02.2001,630858912,natwol@st.amu.edu.pl
464931,Artur,Ziętkiewicz,01260949935,Ul. Półwiejska 345 61-614 Poznań,09.06.2001,673907051,artzie@st.amu.edu.pl
464932,Bartosz,Bronikowski,01320441351,Ul. Głogowska 123 61-614 Poznań,04.12.2001,616567354,barbro@st.amu.edu.pl
464933,Mateusz,Mroziński,01212028174,Ul. Lipowa 34 61-614 Poznań,20.01.2001,688849124,matmro@st.amu.edu.pl
464934,Michał,Kamiński,01252581631,Ul. Myśliwska 89 61-614 Poznań,25.05.2001,629800409,mickam@st.amu.edu.pl
464935,Mikołaj,Koffnyt,01321663697,Ul. Mazowiecka 63 61-614 Poznań,16.12.2001,618172681,mikkof@st.amu.edu.pl
464936,Julia,Strysik,01312631441,Ul. Krańcowa 3 61-614 Poznań,26.11.2001,647421179,julstr@st.amu.edu.pl
464937,Michał,Gulczyński,01220268999,Ul. Cicha 23 61-614 Poznań,02.02.2001,635366493,micgul@st.amu.edu.pl
464938,Dawid,Pylak,01220942378,Ul. Spokojna 23 61-614 Poznań,09.02.2001,666867993,dawpyl@st.amu.edu.pl
464939,Mateusz,Czapiewski,01212791511,Ul. Piątkowska 5 61-614 Poznań,27.01.2001,683477903,matcza@st.amu.edu.pl
464940,Michał,Hołubowicz,01233119354,Ul. Bukowska 14 61-614 Poznań,31.03.2001,608667610,michol@st.amu.edu.pl
464941,Jakub,Leśniak,01262927393,Ul. Pocztowa 189 61-614 Poznań,29.06.2001,641177917,jakles@st.amu.edu.pl
464942,Adam,Szpilkowski,01322591252,Ul. Dworcowa 13 61-614 Poznań,25.12.2001,615123739,adaszp@st.amu.edu.pl
464943,Adam,Cherek,01271553835,Ul. Krauthofera 12 61-614 Poznań,15.07.2001,691481180,adache@st.amu.edu.pl
464944,Jan,Kaźmierczak,01312824797,Ul. Składowa 212 61-614 Poznań,28.11.2001,608571729,jankaz@st.amu.edu.pl
464945,Kacper,Kalinowski,01282576117,Ul. Wiejska 356 61-614 Poznań,25.08.2001,650771976,kackal@st.amu.edu.pl
464946,Karol,Filipiak,01270566399,Ul. Naramowicka 34 61-614 Poznań,05.07.2001,669963541,karfil@st.amu.edu.pl
464947,Jan,Kemnitz,01281088354,Ul. Głogowska 34 61-614 Poznań,10.08.2001,626450138,jankem@st.amu.edu.pl
464948,Wojciech,Matuszak,01222311176,Ul. Poznańska 45 61-614 Poznań,23.02.2001,679152371,wojmat@st.amu.edu.pl
464949,Gabriela,Piekarska,01322194622,Ul. Mazowiecka 43 61-614 Poznań,21.12.2001,605850342,gabpie@st.amu.edu.pl
